Positions,Single,Multiple,EffuseSingle,EffuseMultiple
4.15000000, 125343.00000000, 119.00000000, 0.00000000, 0.00000000
4.20000000, 124294.00000000, 115.00000000, 0.00000000, 0.00000000
4.25000000, 121516.00000000, 124.00000000, 0.00000000, 0.00000000
4.30000000, 121032.00000000, 106.00000000, 0.00000000, 0.00000000
4.35000000, 118766.00000000, 118.00000000, 0.00000000, 0.00000000
4.40000000, 117564.00000000, 103.00000000, 0.00000000, 0.00000000
4.45000000, 115359.00000000, 109.00000000, 0.00000000, 0.00000000
4.50000000, 113557.00000000, 96.00000000, 0.00000000, 0.00000000
4.55000000, 111411.00000000, 118.00000000, 0.00000000, 0.00000000
4.60000000, 110026.00000000, 80.00000000, 0.00000000, 0.00000000
4.65000000, 107866.00000000, 82.00000000, 0.00000000, 0.00000000
4.70000000, 106473.00000000, 76.00000000, 0.00000000, 0.00000000
4.75000000, 104848.00000000, 76.00000000, 0.00000000, 0.00000000
4.80000000, 103020.00000000, 82.00000000, 0.00000000, 0.00000000
4.85000000, 100931.00000000, 67.00000000, 0.00000000, 0.00000000
4.90000000, 98710.00000000, 58.00000000, 0.00000000, 0.00000000
4.95000000, 97125.00000000, 64.00000000, 0.00000000, 0.00000000
5.00000000, 95422.00000000, 55.00000000, 0.00000000, 0.00000000
5.05000000, 93621.00000000, 60.00000000, 0.00000000, 0.00000000
5.10000000, 92042.00000000, 59.00000000, 0.00000000, 0.00000000
5.15000000, 89826.00000000, 58.00000000, 0.00000000, 0.00000000
5.20000000, 89046.00000000, 53.00000000, 0.00000000, 0.00000000
5.25000000, 87237.00000000, 71.00000000, 0.00000000, 0.00000000
5.30000000, 84813.00000000, 54.00000000, 0.00000000, 0.00000000
5.35000000, 83719.00000000, 36.00000000, 0.00000000, 0.00000000
5.40000000, 82134.00000000, 57.00000000, 0.00000000, 0.00000000
5.45000000, 80956.00000000, 50.00000000, 0.00000000, 0.00000000
5.50000000, 78968.00000000, 49.00000000, 0.00000000, 0.00000000
5.55000000, 77621.00000000, 49.00000000, 0.00000000, 0.00000000
5.60000000, 76451.00000000, 43.00000000, 0.00000000, 0.00000000
5.65000000, 75162.00000000, 42.00000000, 0.00000000, 0.00000000
5.70000000, 73513.00000000, 45.00000000, 0.00000000, 0.00000000
5.75000000, 72546.00000000, 48.00000000, 0.00000000, 0.00000000
5.80000000, 71132.00000000, 41.00000000, 0.00000000, 0.00000000
5.85000000, 69964.00000000, 48.00000000, 0.00000000, 0.00000000
5.90000000, 68922.00000000, 35.00000000, 0.00000000, 0.00000000
5.95000000, 67899.00000000, 42.00000000, 0.00000000, 0.00000000
6.00000000, 66073.00000000, 41.00000000, 0.00000000, 0.00000000
6.05000000, 65232.00000000, 27.00000000, 0.00000000, 0.00000000
6.10000000, 63941.00000000, 31.00000000, 0.00000000, 0.00000000
6.15000000, 62881.00000000, 38.00000000, 0.00000000, 0.00000000
6.20000000, 61927.00000000, 32.00000000, 0.00000000, 0.00000000
6.25000000, 60948.00000000, 33.00000000, 0.00000000, 0.00000000
6.30000000, 60047.00000000, 30.00000000, 0.00000000, 0.00000000
6.35000000, 58720.00000000, 25.00000000, 0.00000000, 0.00000000
6.40000000, 57936.00000000, 29.00000000, 0.00000000, 0.00000000
6.45000000, 56339.00000000, 38.00000000, 0.00000000, 0.00000000
6.50000000, 55841.00000000, 32.00000000, 0.00000000, 0.00000000
6.55000000, 54314.00000000, 25.00000000, 0.00000000, 0.00000000
6.60000000, 53743.00000000, 26.00000000, 0.00000000, 0.00000000
6.65000000, 52421.00000000, 28.00000000, 0.00000000, 0.00000000
6.70000000, 51974.00000000, 20.00000000, 0.00000000, 0.00000000
6.75000000, 51314.00000000, 23.00000000, 0.00000000, 0.00000000
6.80000000, 50163.00000000, 23.00000000, 0.00000000, 0.00000000
6.85000000, 49655.00000000, 8.00000000, 0.00000000, 0.00000000
6.90000000, 48218.00000000, 21.00000000, 0.00000000, 0.00000000
6.95000000, 47921.00000000, 17.00000000, 0.00000000, 0.00000000
7.00000000, 47343.00000000, 20.00000000, 0.00000000, 0.00000000
7.05000000, 46468.00000000, 17.00000000, 0.00000000, 0.00000000
7.10000000, 45163.00000000, 20.00000000, 0.00000000, 0.00000000
7.15000000, 44496.00000000, 16.00000000, 0.00000000, 0.00000000
7.20000000, 43766.00000000, 24.00000000, 0.00000000, 0.00000000
7.25000000, 43000.00000000, 17.00000000, 0.00000000, 0.00000000
7.30000000, 42691.00000000, 13.00000000, 0.00000000, 0.00000000
7.35000000, 41926.00000000, 12.00000000, 0.00000000, 0.00000000
7.40000000, 41476.00000000, 18.00000000, 0.00000000, 0.00000000
7.45000000, 40766.00000000, 19.00000000, 0.00000000, 0.00000000
7.50000000, 40093.00000000, 11.00000000, 0.00000000, 0.00000000
7.55000000, 39575.00000000, 12.00000000, 0.00000000, 0.00000000
7.60000000, 38945.00000000, 10.00000000, 0.00000000, 0.00000000
7.65000000, 38214.00000000, 15.00000000, 0.00000000, 0.00000000
7.70000000, 37818.00000000, 17.00000000, 0.00000000, 0.00000000
7.75000000, 37262.00000000, 9.00000000, 0.00000000, 0.00000000
7.80000000, 36517.00000000, 13.00000000, 0.00000000, 0.00000000
7.85000000, 35737.00000000, 14.00000000, 0.00000000, 0.00000000
7.90000000, 35112.00000000, 10.00000000, 0.00000000, 0.00000000
7.95000000, 34880.00000000, 12.00000000, 0.00000000, 0.00000000
8.00000000, 34177.00000000, 7.00000000, 0.00000000, 0.00000000
